file,class,method,variable,usage
E:\Sowmya_git_projects\slf4j\slf4j-api\src\test\java\org\slf4j\eventTest\EventRecordingLoggerTest.java,org.slf4j.eventTest.EventRecordingLoggerTest,markerMessageThrowable/1[org.slf4j.event.Level],marker,6
E:\Sowmya_git_projects\slf4j\slf4j-api\src\test\java\org\slf4j\eventTest\EventRecordingLoggerTest.java,org.slf4j.eventTest.EventRecordingLoggerTest,markerMessageThrowable/1[org.slf4j.event.Level],logger,5
E:\Sowmya_git_projects\slf4j\slf4j-api\src\test\java\org\slf4j\eventTest\EventRecordingLoggerTest.java,org.slf4j.eventTest.EventRecordingLoggerTest,markerMessageThrowable/1[org.slf4j.event.Level],message,5
E:\Sowmya_git_projects\slf4j\slf4j-api\src\test\java\org\slf4j\eventTest\EventRecordingLoggerTest.java,org.slf4j.eventTest.EventRecordingLoggerTest,markerMessageOneParameterThrowableCheck/1[org.slf4j.event.Level],exception,6
E:\Sowmya_git_projects\slf4j\slf4j-api\src\test\java\org\slf4j\eventTest\EventRecordingLoggerTest.java,org.slf4j.eventTest.EventRecordingLoggerTest,markerMessageOneParameterThrowableCheck/1[org.slf4j.event.Level],marker,6
E:\Sowmya_git_projects\slf4j\slf4j-api\src\test\java\org\slf4j\eventTest\EventRecordingLoggerTest.java,org.slf4j.eventTest.EventRecordingLoggerTest,markerMessageOneParameterThrowableCheck/1[org.slf4j.event.Level],logger,5
E:\Sowmya_git_projects\slf4j\slf4j-api\src\test\java\org\slf4j\eventTest\EventRecordingLoggerTest.java,org.slf4j.eventTest.EventRecordingLoggerTest,markerMessageOneParameterThrowableCheck/1[org.slf4j.event.Level],oneParam,1
E:\Sowmya_git_projects\slf4j\slf4j-api\src\test\java\org\slf4j\eventTest\EventRecordingLoggerTest.java,org.slf4j.eventTest.EventRecordingLoggerTest,markerMessageOneParameterThrowableCheck/1[org.slf4j.event.Level],message,5
E:\Sowmya_git_projects\slf4j\slf4j-api\src\test\java\org\slf4j\eventTest\EventRecordingLoggerTest.java,org.slf4j.eventTest.EventRecordingLoggerTest,markerMessageOneParameterThrowableCheck/1[org.slf4j.event.Level],param1,5
E:\Sowmya_git_projects\slf4j\slf4j-api\src\test\java\org\slf4j\eventTest\EventRecordingLoggerTest.java,org.slf4j.eventTest.EventRecordingLoggerTest,"verifyMessageWithoutMarker/3[org.slf4j.event.Level,java.lang.Object[],java.lang.Throwable]",exception,2
E:\Sowmya_git_projects\slf4j\slf4j-api\src\test\java\org\slf4j\eventTest\EventRecordingLoggerTest.java,org.slf4j.eventTest.EventRecordingLoggerTest,tearDown/0,queue,1
